,Fall,Spring,Summer,Winter
t2m_mean,20.92857120375129,21.71296094740244,23.110173088632195,18.18065729618836
t2m_max,31.215654525487935,33.73650535018976,33.69114495497837,31.42386331798491
t2m_min,7.840089306777486,7.872810827717501,11.903232915703484,7.8216272091452765
t2m_p25,18.30849163507196,18.829412126880996,20.767984763718786,14.933780786249088
t2m_p50,21.16447898185197,21.641333350083443,22.992129132983933,18.261298618791443
t2m_p75,23.82286315400364,24.67744972337627,25.450757118234336,21.643016264993207
t2m_p90,25.98920460530536,27.170481719645977,27.541298934060833,23.620371925268252
t2m_p95,27.01354495546477,28.414818769201815,28.53432769036415,24.631517789151914
t2m_p99,28.4353629761478,30.608430513905855,30.052325664203227,26.565391029016965
d2m_mean,15.054365813908923,14.37741412098187,17.53476005484406,10.867319974323534
d2m_max,22.3739203390503,22.227779440828726,22.6959761973211,19.030807866219675
d2m_min,3.3528190604062047,3.3238554620474474,5.705075737980849,3.322700890513204
d2m_p25,13.146532036171038,12.445645880023307,16.540550247953078,9.17430236913276
d2m_p50,15.485058221790496,14.838738648488516,17.781612095933696,11.071382353581043
d2m_p75,17.372504978617314,16.746453586739037,18.77014504535525,12.701397680024456
d2m_p90,18.56033485001285,18.025391231395588,19.527217965129495,14.042967857285205
d2m_p95,19.16161959886233,18.66707825194079,19.973557406238907,14.81741408280754
d2m_p99,20.200877799462155,19.75902138899772,20.827008630847697,16.093023795397666
wind_speed_10_mean,1.4759201072060297,1.8023838951734408,1.657690099134542,1.557523638334104
wind_speed_10_max,4.208014133828327,4.214603749871964,4.213241084530802,4.213411608018418
wind_speed_10_min,0.0116855445663778,0.0094896147449942,0.0108173782587951,0.016985978339445
wind_speed_10_p25,0.8995323969025247,1.1417294872969157,1.0373582957302414,0.9422283319572832
wind_speed_10_p50,1.3457733696130458,1.7065971505744593,1.5731652096003028,1.407111181170837
wind_speed_10_p75,1.9294529415349557,2.381505609777311,2.186891912556594,2.048690877050108
wind_speed_10_p90,2.5446209349282167,3.0206794461333697,2.7479492099860776,2.727870114353361
wind_speed_10_p95,2.9284448168279154,3.367834063143198,3.121088533270221,3.1416847459291173
wind_speed_10_p99,3.609720167765279,3.913616743460735,3.752190723615237,3.817898273699466
rain_sum,3836.1971135625477,4831.5034077304335,8093.269935492022,1193.9530917380312
rain_max,2.0213019045226,2.0199542600225997,2.0217101740385997,2.0127813237205
rain_min,-8.673617379884035e-16,-8.673617379884035e-16,-8.673617379884035e-16,-8.673617379884035e-16
rain_p25,0.0,0.0,0.011379183247796009,0.0
rain_p50,0.01011437303583343,0.015303039540139323,0.09050770281813972,0.0
rain_p75,0.09505449281666467,0.13638768039170002,0.3690321598496,0.005571875935127171
rain_p90,0.37604604423636,0.5682710630597603,0.9861466484082402,0.06852774917165251
rain_p95,0.8076093571052899,0.9885317526944991,1.3514132268924588,0.18286271710565954
rain_p99,1.5855998367774822,1.6999683258426064,1.8428990911736556,0.9237703226337131
